report_date,jurisdiction_name,adp_nonsentenced_male,adp_nonsentenced_female,adp_sentenced_male,adp_sentenced_female,adp_total,adp_nonsentenced_felony,adp_sentenced_felony,adp_felony_total,adp_nonsentenced_misdemeanor,adp_sentenced_misdemeanor,adp_misdemeanor_total,date_of_highest_pop,highest_one-day_pop,adp_max_security,adp_med_security,adp_min_security,mental_health_cases_opened_last_day_of_month,new_mental_health_cases_opened_during_this_month,"inmates_receiving_psych_medication,last_day_of_month",inmates_assigned_to_mental_health_beds_last_day_of_month,total_#_seen_at_inmate_sick_call,physician/practitioner_occurrences_this_month,off-site_medical_appointments_this_month,dental_encounters_this_month,total_#_assigned_to_medical_beds_last_day_of_the_month,avg_#_inmates_not_assigned_to_housing,avg_#_in_contract_beds_in_other_public/private_institutions,avg_#_of_federal_inmates_housed_in_your_system_on_contract,avg_#_of_state_inmates_housed_on_contract,avg_#_from_other_counties_housed_on_contract.,avg_#_of_inmates_sent._and_awaiting_transport_to_state_prison,avg_#_of_inmates_in_hospital(s)_outside_of_facilities,total_#_booked,total_#_of_pretrial_released_due_to_lack_of_capacity,total_#_of_sent._released_due_to_lack_of_capacity,total_#_juveniles_(per_wic_707),total_#_released_between_6_am-before_5pm,total_#_released_between_5_pm-before_11pm,total_#_released_between_11_pm-before_6am,total_#_of_pc_1170(h)(1)__sentenced_new_commitment,total_#_of_pc1170(h)_placed_alternative_in_custody,total_#_of_pc_1170(h)_in_alternative_custody_returned_to_custody,total_#_of_prcs__booked_on_a__flash_incarceration,total_#_of_prcs_booked_pursuant_to_pc_3455(a),total_#_of_prcs__booked_with_a_new_local_charge(s),total_#_of_prcs_received_jail_time_due_to_revocation_hearing,total_#_of_state_parolees__booked_on_a_pc_3056(a)_violation,total_#_of_state_parolees_who_received_jail_time_due_to_parole_revocation,total_#_of_state_parolees_who_were_booked_on_any_new_offense(s),total_#_of_state_parolees_sentenced_on_a_new_local_offense
2024-06-30,Alameda,1380,118,98,3,1599,1357,92,1449,141,9,150,2024-06-25,1651,-,-,-,,799,605,5,1113,612,66,233,9,0,1,332,18,0,7,5,2171,0,0,0,874,1020,161,0,0,0,0,4,14,2,0,1,4,0
2024-06-30,Amador,44,8,25,3,80,45,23,68,7,5,12,2024-06-03,85,-,-,-,34,5,36,0,183,58,4,0,0,9,2,0,0,0,3,0,112,0,23,0,64,23,25,0,0,0,1,6,3,5,4,0,0,0
2024-06-30,Butte,274,58,131,21,484,306,137,443,26,15,41,2024-06-30,506,-,-,-,309,213,98,7,198,248,13,69,0,6,0,22,0,0,7,12,745,5,7,0,436,125,144,19,5,1,3,14,18,19,15,7,10,5
2024-06-30,Calaveras,76,13,4,1,94,72,5,77,17,0,17,2024-06-24,101,-,-,-,56,8,42,18,192,167,0,0,0,0,0,0,0,1,0,0,105,0,0,0,48,10,10,1,0,0,1,1,5,1,2,0,1,0
2024-06-30,Colusa,37,6,10,2,55,39,9,48,4,3,7,2024-06-26,61,-,-,-,21,20,15,0,133,29,1,8,0,,0,5,0,0,1,0,70,0,0,0,41,5,11,1,0,0,3,0,0,2,1,1,0,0
2024-06-30,Contra Costa,667,66,151,20,904,660,153,813,73,18,91,2024-06-10,935,-,-,-,486,704,341,23,2711,717,122,88,4,0,0,16,0,1,8,2,1150,0,0,0,572,426,94,5,0,0,0,8,8,14,13,4,22,0
2024-06-30,Del Norte,45,9,26,7,87,50,27,77,4,6,10,2024-06-04,91,-,-,-,,,46,,138,,5,0,,4,,0,,,,,146,,,0,,,,,,,,,,,,,,
2024-06-30,El Dorado,239,36,23,8,306,251,17,268,24,14,38,2024-06-10,317,-,-,-,319,15,121,0,174,127,7,10,5,,0,1,0,0,1,0,416,0,0,0,90,22,28,2,0,0,0,4,7,5,7,0,7,6
2024-06-30,Fresno,1849,208,378,47,2482,1949,350,2299,108,75,183,2024-06-30,2803,-,-,-,1115,145,795,138,5238,2188,56,709,35,40,4,74,,,65,3,2178,579,37,0,1001,575,604,87,0,0,12,48,102,53,0,0,3,0
2024-06-30,Glenn,38,6,17,2,63,38,10,48,6,9,15,2024-06-22,70,-,-,-,30,14,13,0,101,24,0,2,0,1,0,0,0,0,4,0,97,0,0,0,60,13,12,2,0,0,3,7,5,4,2,0,0,0
